iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000815	CORRAL eukaryote detection and abundance analysis		Data analysis	Metagenomic sequencing assay											
EUPATH_0009246	Metagenome pathway and function analysis		Data analysis	Metagenomic sequencing assay											
EUPATH_0009247	4th level EC metagenome abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay											
EUPATH_0009247_1_10_2_2	1.10.2.2: Quinol--cytochrome-c reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.124379	118.68536	8.94877724642857	3.277061	9.212922	1.315375	280			
EUPATH_0009247_1_10_3_10	1.10.3.10: Ubiquinol oxidase (H(+)-transporting)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.335111	29.4449	3.8188806509434	2.4630885	4.83577	1.09752	106			
EUPATH_0009247_1_10_3_3	1.10.3.3: L-ascorbate oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.473504	4.77221	2.319528	1.71287	3.24254	1.093187	3	["0.473504","1.712870","4.772210"]		
EUPATH_0009247_1_10_3_9	1.10.3.9: Photosystem II	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.439203	5.25612	1.7952085	0.7427555	3.063421	0.526996	4	["0.439203","0.614789","0.870722","5.256120"]		
EUPATH_0009247_1_10_99_2	1.10.99.2: Transferred entry: 1.10.5.1	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		5.0746	5.0746	5.0746	5.0746			1	["5.074600"]		
EUPATH_0009247_1_10_9_1	1.10.9.1: Plastoquinol--plastocyanin reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.63126	1.63126	1.63126	1.63126			1	["1.631260"]		
EUPATH_0009247_1_11_1_1	1.11.1.1: NADH peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.271227	191.98581	21.0430265793651	15.9242025	26.3819915	8.792721	503			
EUPATH_0009247_1_11_1_10	1.11.1.10: Chloride peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.232037	90.8865	6.37154086904762	2.22122	5.193395	1.20937	84			
EUPATH_0009247_1_11_1_15	1.11.1.15: Peroxiredoxin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.79275	776.2867	55.4350402189142	35.054491	64.998197	18.5522335	571			
EUPATH_0009247_1_11_1_18	1.11.1.18: Bromide peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.8465	1.8465	1.8465	1.8465			1	["1.846500"]		
EUPATH_0009247_1_11_1_21	1.11.1.21: Catalase peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.166129	98.482884	7.22761403422053	3.350624	8.4595925	1.469678	263			
EUPATH_0009247_1_11_1_5	1.11.1.5: Cytochrome-c peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.243642	269.71	11.6059548811594	3.6618	9.74079	1.62007	345			
EUPATH_0009247_1_11_1_6	1.11.1.6: Catalase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.152006	224.9653	8.89596928133705	4.00598	8.32123	1.678505	359			
EUPATH_0009247_1_11_1_7	1.11.1.7: Peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.329413	6.54523	1.46597592307692	1.14198	1.54281	0.590941	13			
EUPATH_0009247_1_11_1_9	1.11.1.9: Glutathione peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.266243	25.415305	2.52445701886792	1.1523	1.91782	0.623951	53			
EUPATH_0009247_1_11_2_3	1.11.2.3: Plant seed peroxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		1.13078	1.66458	1.39768	1.39768	1.66458	1.13078	2	["1.130780","1.664580"]		
EUPATH_0009247_1_12_1_2	1.12.1.2: Hydrogen dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.30737	1.27242	0.64321533333333	0.349856	0.811138	0.328613	3	["0.307370","0.349856","1.272420"]		
EUPATH_0009247_1_12_1_3	1.12.1.3: Hydrogen dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.450562	2.4107	1.47713733333333	1.57015	1.990425	1.010356	3	["0.450562","1.570150","2.410700"]		
EUPATH_0009247_1_12_2_1	1.12.2.1: Cytochrome-c3 hydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.333285	1.54946	0.9413725	0.9413725	1.54946	0.333285	2	["0.333285","1.549460"]		
EUPATH_0009247_1_12_5_1	1.12.5.1: Hydrogen:quinone oxidoreductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.303286	192.6088	13.35769888	4.17521	15.1791905	1.785055	200			
EUPATH_0009247_1_12_7_2	1.12.7.2: Ferredoxin hydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.050586	65.1012	4.03795644918033	2.41941	4.62702	1.19224	305			
