Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Phase [EUPATH_0009332]	Sample type [OBI_0100051]
SRR9843650	SRR9843650 (Source)	Colon	Feces	colon	24	Stool
SRR9843651	SRR9843651 (Source)	Colon	Feces	colon	24	Stool
SRR9843652	SRR9843652 (Source)	Colon	Feces	colon	0	Stool
SRR9843653	SRR9843653 (Source)	Colon	Feces	colon	0	Stool
SRR9843654	SRR9843654 (Source)	Colon	Feces	colon	0	Stool
SRR9843655	SRR9843655 (Source)	Colon	Feces	colon	24	Stool
SRR9843656	SRR9843656 (Source)	Colon	Feces	colon	0	Stool
SRR9843657	SRR9843657 (Source)	Colon	Feces	colon	24	Stool
SRR9843658	SRR9843658 (Source)	Colon	Feces	colon	24	Stool
SRR9843659	SRR9843659 (Source)	Colon	Feces	colon	24	Stool
SRR9843660	SRR9843660 (Source)	Colon	Feces	colon	0	Stool
SRR9843661	SRR9843661 (Source)	Colon	Feces	colon	24	Stool
SRR9843662	SRR9843662 (Source)	Colon	Feces	colon	0	Stool
SRR9843663	SRR9843663 (Source)	Colon	Feces	colon	0	Stool
SRR9843664	SRR9843664 (Source)	Colon	Feces	colon	24	Stool
SRR9843665	SRR9843665 (Source)	Colon	Feces	colon	0	Stool
SRR9843666	SRR9843666 (Source)	Colon	Feces	colon	0	Stool
SRR9843667	SRR9843667 (Source)	Colon	Feces	colon	24	Stool
SRR9843668	SRR9843668 (Source)	Colon	Feces	colon	24	Stool
SRR9843669	SRR9843669 (Source)	Colon	Feces	colon	24	Stool
SRR9843670	SRR9843670 (Source)	Colon	Feces	colon	0	Stool
SRR9843671	SRR9843671 (Source)	Colon	Feces	colon	0	Stool
SRR9843672	SRR9843672 (Source)	Colon	Feces	colon	24	Stool
SRR9843673	SRR9843673 (Source)	Colon	Feces	colon	0	Stool
SRR9843674	SRR9843674 (Source)	Colon	Feces	colon	0	Stool
SRR9843675	SRR9843675 (Source)	Colon	Feces	colon	24	Stool
SRR9843676	SRR9843676 (Source)	Colon	Feces	colon	24	Stool
SRR9843677	SRR9843677 (Source)	Colon	Feces	colon	0	Stool
SRR9843678	SRR9843678 (Source)	Colon	Feces	colon	24	Stool
SRR9843679	SRR9843679 (Source)	Colon	Feces	colon	0	Stool
SRR9843680	SRR9843680 (Source)	Colon	Feces	colon	24	Stool
SRR9843681	SRR9843681 (Source)	Colon	Feces	colon	24	Stool
SRR9843682	SRR9843682 (Source)	Colon	Feces	colon	0	Stool
SRR9843683	SRR9843683 (Source)	Colon	Feces	colon	0	Stool
SRR9843684	SRR9843684 (Source)	Colon	Feces	colon	0	Stool
SRR9843685	SRR9843685 (Source)	Colon	Feces	colon	0	Stool
SRR9843686	SRR9843686 (Source)	Colon	Feces	colon	0	Stool
SRR9843687	SRR9843687 (Source)	Colon	Feces	colon	24	Stool
SRR9843688	SRR9843688 (Source)	Colon	Feces	colon	24	Stool
SRR9843689	SRR9843689 (Source)	Colon	Feces	colon	24	Stool
SRR9843690	SRR9843690 (Source)	Colon	Feces	colon	24	Stool
SRR9843691	SRR9843691 (Source)	Colon	Feces	colon	24	Stool
SRR9843692	SRR9843692 (Source)	Colon	Feces	colon	0	Stool
SRR9843693	SRR9843693 (Source)	Colon	Feces	colon	24	Stool
SRR9843694	SRR9843694 (Source)	Colon	Feces	colon	0	Stool
SRR9843695	SRR9843695 (Source)	Colon	Feces	colon	24	Stool
SRR9843696	SRR9843696 (Source)	Colon	Feces	colon	0	Stool
SRR9843697	SRR9843697 (Source)	Colon	Feces	colon	0	Stool
SRR9843698	SRR9843698 (Source)	Colon	Feces	colon	24	Stool
SRR9843699	SRR9843699 (Source)	Colon	Feces	colon	24	Stool
SRR9843700	SRR9843700 (Source)	Colon	Feces	colon	0	Stool
SRR9843701	SRR9843701 (Source)	Colon	Feces	colon	24	Stool
SRR9843702	SRR9843702 (Source)	Colon	Feces	colon	24	Stool
SRR9843703	SRR9843703 (Source)	Colon	Feces	colon	0	Stool
SRR9843704	SRR9843704 (Source)	Colon	Feces	colon	24	Stool
SRR9843705	SRR9843705 (Source)	Colon	Feces	colon	24	Stool
SRR9843706	SRR9843706 (Source)	Colon	Feces	colon	0	Stool
SRR9843707	SRR9843707 (Source)	Colon	Feces	colon	0	Stool
SRR9843708	SRR9843708 (Source)	Colon	Feces	colon	0	Stool
SRR9843709	SRR9843709 (Source)	Colon	Feces	colon	0	Stool
SRR9843710	SRR9843710 (Source)	Colon	Feces	colon	0	Stool
SRR9843711	SRR9843711 (Source)	Colon	Feces	colon	0	Stool
SRR9843712	SRR9843712 (Source)	Colon	Feces	colon	24	Stool
SRR9843713	SRR9843713 (Source)	Colon	Feces	colon	0	Stool
SRR9843714	SRR9843714 (Source)	Colon	Feces	colon	24	Stool
SRR9843715	SRR9843715 (Source)	Colon	Feces	colon	0	Stool
SRR9843716	SRR9843716 (Source)	Colon	Feces	colon	0	Stool
SRR9843717	SRR9843717 (Source)	Colon	Feces	colon	0	Stool
SRR9843718	SRR9843718 (Source)	Colon	Feces	colon	0	Stool
SRR9843719	SRR9843719 (Source)	Colon	Feces	colon	0	Stool
SRR9843720	SRR9843720 (Source)	Colon	Feces	colon	0	Stool
SRR9843721	SRR9843721 (Source)	Colon	Feces	colon	0	Stool
SRR9843722	SRR9843722 (Source)	Colon	Feces	colon	0	Stool
SRR9843723	SRR9843723 (Source)	Colon	Feces	colon	0	Stool
SRR9843724	SRR9843724 (Source)	Colon	Feces	colon	24	Stool
SRR9843725	SRR9843725 (Source)	Colon	Feces	colon	0	Stool
SRR9843726	SRR9843726 (Source)	Colon	Feces	colon	0	Stool
SRR9843727	SRR9843727 (Source)	Colon	Feces	colon	0	Stool
SRR9843728	SRR9843728 (Source)	Colon	Feces	colon	0	Stool
SRR9843729	SRR9843729 (Source)	Colon	Feces	colon	24	Stool
SRR9843730	SRR9843730 (Source)	Colon	Feces	colon	24	Stool
SRR9843731	SRR9843731 (Source)	Colon	Feces	colon	0	Stool
SRR9843732	SRR9843732 (Source)	Colon	Feces	colon	24	Stool
SRR9843733	SRR9843733 (Source)	Colon	Feces	colon	24	Stool
SRR9843734	SRR9843734 (Source)	Colon	Feces	colon	24	Stool
SRR9843735	SRR9843735 (Source)	Colon	Feces	colon	24	Stool
SRR9843736	SRR9843736 (Source)	Colon	Feces	colon	0	Stool
SRR9843737	SRR9843737 (Source)	Colon	Feces	colon	0	Stool
SRR9843738	SRR9843738 (Source)	Colon	Feces	colon	24	Stool
SRR9843739	SRR9843739 (Source)	Colon	Feces	colon	24	Stool
SRR9843740	SRR9843740 (Source)	Colon	Feces	colon	24	Stool
SRR9843741	SRR9843741 (Source)	Colon	Feces	colon	0	Stool
SRR9843742	SRR9843742 (Source)	Colon	Feces	colon	24	Stool
SRR9843743	SRR9843743 (Source)	Colon	Feces	colon	24	Stool
SRR9843744	SRR9843744 (Source)	Colon	Feces	colon	24	Stool
SRR9843745	SRR9843745 (Source)	Colon	Feces	colon	0	Stool
SRR9843746	SRR9843746 (Source)	Colon	Feces	colon	0	Stool
SRR9843747	SRR9843747 (Source)	Colon	Feces	colon	24	Stool
SRR9843748	SRR9843748 (Source)	Colon	Feces	colon	0	Stool
SRR9843749	SRR9843749 (Source)	Colon	Feces	colon	24	Stool
SRR9843750	SRR9843750 (Source)	Colon	Feces	colon	0	Stool
SRR9843751	SRR9843751 (Source)	Colon	Feces	colon	0	Stool
SRR9843752	SRR9843752 (Source)	Colon	Feces	colon	0	Stool
SRR9843753	SRR9843753 (Source)	Colon	Feces	colon	24	Stool
SRR9843754	SRR9843754 (Source)	Colon	Feces	colon	24	Stool
SRR9843755	SRR9843755 (Source)	Colon	Feces	colon	0	Stool
SRR9843756	SRR9843756 (Source)	Colon	Feces	colon	0	Stool
SRR9843757	SRR9843757 (Source)	Colon	Feces	colon	0	Stool
SRR9843758	SRR9843758 (Source)	Colon	Feces	colon	24	Stool
SRR9843759	SRR9843759 (Source)	Colon	Feces	colon	0	Stool
SRR9843760	SRR9843760 (Source)	Colon	Feces	colon	24	Stool
SRR9843761	SRR9843761 (Source)	Colon	Feces	colon	24	Stool
SRR9843762	SRR9843762 (Source)	Colon	Feces	colon	24	Stool
SRR9843763	SRR9843763 (Source)	Colon	Feces	colon	24	Stool
SRR9843764	SRR9843764 (Source)	Colon	Feces	colon	24	Stool
SRR9843765	SRR9843765 (Source)	Colon	Feces	colon	24	Stool
SRR9843766	SRR9843766 (Source)	Colon	Feces	colon	0	Stool
SRR9843767	SRR9843767 (Source)	Colon	Feces	colon	24	Stool
SRR9843768	SRR9843768 (Source)	Colon	Feces	colon	24	Stool
SRR9843769	SRR9843769 (Source)	Colon	Feces	colon	0	Stool
SRR9843770	SRR9843770 (Source)	Colon	Feces	colon	24	Stool
SRR9843771	SRR9843771 (Source)	Colon	Feces	colon	0	Stool
SRR9843772	SRR9843772 (Source)	Colon	Feces	colon	24	Stool
SRR9843773	SRR9843773 (Source)	Colon	Feces	colon	24	Stool
SRR9843774	SRR9843774 (Source)	Colon	Feces	colon	24	Stool
SRR9843775	SRR9843775 (Source)	Colon	Feces	colon	24	Stool
SRR9843776	SRR9843776 (Source)	Colon	Feces	colon	24	Stool
SRR9843777	SRR9843777 (Source)	Colon	Feces	colon	24	Stool
SRR9843778	SRR9843778 (Source)	Colon	Feces	colon	24	Stool
SRR9843779	SRR9843779 (Source)	Colon	Feces	colon	24	Stool
SRR9843780	SRR9843780 (Source)	Colon	Feces	colon	24	Stool
SRR9843781	SRR9843781 (Source)	Colon	Feces	colon	24	Stool
SRR9843782	SRR9843782 (Source)	Colon	Feces	colon	24	Stool
SRR9843783	SRR9843783 (Source)	Colon	Feces	colon	0	Stool
SRR9843784	SRR9843784 (Source)	Colon	Feces	colon	24	Stool
SRR9843785	SRR9843785 (Source)	Colon	Feces	colon	0	Stool
SRR9843786	SRR9843786 (Source)	Colon	Feces	colon	0	Stool
SRR9843787	SRR9843787 (Source)	Colon	Feces	colon	0	Stool
SRR9843788	SRR9843788 (Source)	Colon	Feces	colon	24	Stool
SRR9843789	SRR9843789 (Source)	Colon	Feces	colon	0	Stool
SRR9843790	SRR9843790 (Source)	Colon	Feces	colon	0	Stool
SRR9843791	SRR9843791 (Source)	Colon	Feces	colon	24	Stool
SRR9843792	SRR9843792 (Source)	Colon	Feces	colon	0	Stool
SRR9843793	SRR9843793 (Source)	Colon	Feces	colon	0	Stool
SRR9843794	SRR9843794 (Source)	Colon	Feces	colon	0	Stool
SRR9843795	SRR9843795 (Source)	Colon	Feces	colon	0	Stool
SRR9843796	SRR9843796 (Source)	Colon	Feces	colon	0	Stool
SRR9843797	SRR9843797 (Source)	Colon	Feces	colon	24	Stool
SRR9843798	SRR9843798 (Source)	Colon	Feces	colon	24	Stool
SRR9843799	SRR9843799 (Source)	Colon	Feces	colon	24	Stool
SRR9843800	SRR9843800 (Source)	Colon	Feces	colon	24	Stool
SRR9843801	SRR9843801 (Source)	Colon	Feces	colon	24	Stool
SRR9843802	SRR9843802 (Source)	Colon	Feces	colon	0	Stool
SRR9843803	SRR9843803 (Source)	Colon	Feces	colon	24	Stool
SRR9843804	SRR9843804 (Source)	Colon	Feces	colon	24	Stool
SRR9843805	SRR9843805 (Source)	Colon	Feces	colon	0	Stool
SRR9843806	SRR9843806 (Source)	Colon	Feces	colon	24	Stool
SRR9843807	SRR9843807 (Source)	Colon	Feces	colon	24	Stool
SRR9843808	SRR9843808 (Source)	Colon	Feces	colon	24	Stool
SRR9843809	SRR9843809 (Source)	Colon	Feces	colon	24	Stool
SRR9843810	SRR9843810 (Source)	Colon	Feces	colon	24	Stool
SRR9843811	SRR9843811 (Source)	Colon	Feces	colon	24	Stool
SRR9843812	SRR9843812 (Source)	Colon	Feces	colon	24	Stool
SRR9843813	SRR9843813 (Source)	Colon	Feces	colon	24	Stool
SRR9843814	SRR9843814 (Source)	Colon	Feces	colon	24	Stool
SRR9843815	SRR9843815 (Source)	Colon	Feces	colon	0	Stool
SRR9843816	SRR9843816 (Source)	Colon	Feces	colon	24	Stool
SRR9843817	SRR9843817 (Source)	Colon	Feces	colon	0	Stool
SRR9843818	SRR9843818 (Source)	Colon	Feces	colon	0	Stool
SRR9843819	SRR9843819 (Source)	Colon	Feces	colon	24	Stool
SRR9843820	SRR9843820 (Source)	Colon	Feces	colon	0	Stool
SRR9843821	SRR9843821 (Source)	Colon	Feces	colon	24	Stool
SRR9843822	SRR9843822 (Source)	Colon	Feces	colon	24	Stool
SRR9843823	SRR9843823 (Source)	Colon	Feces	colon	24	Stool
SRR9843824	SRR9843824 (Source)	Colon	Feces	colon	0	Stool
SRR9843825	SRR9843825 (Source)	Colon	Feces	colon	0	Stool
SRR9843826	SRR9843826 (Source)	Colon	Feces	colon	0	Stool
SRR9843827	SRR9843827 (Source)	Colon	Feces	colon	0	Stool
SRR9843828	SRR9843828 (Source)	Colon	Feces	colon	24	Stool
SRR9843829	SRR9843829 (Source)	Colon	Feces	colon	24	Stool
SRR9843830	SRR9843830 (Source)	Colon	Feces	colon	24	Stool
SRR9843831	SRR9843831 (Source)	Colon	Feces	colon	0	Stool
SRR9843832	SRR9843832 (Source)	Colon	Feces	colon	0	Stool
SRR9843833	SRR9843833 (Source)	Colon	Feces	colon	24	Stool
SRR9843834	SRR9843834 (Source)	Colon	Feces	colon	0	Stool
SRR9843835	SRR9843835 (Source)	Colon	Feces	colon	0	Stool
SRR9843836	SRR9843836 (Source)	Colon	Feces	colon	24	Stool
SRR9843837	SRR9843837 (Source)	Colon	Feces	colon	0	Stool
SRR9843838	SRR9843838 (Source)	Colon	Feces	colon	0	Stool
SRR9843839	SRR9843839 (Source)	Colon	Feces	colon	0	Stool
SRR9843840	SRR9843840 (Source)	Colon	Feces	colon	24	Stool
SRR9843841	SRR9843841 (Source)	Colon	Feces	colon	0	Stool
SRR9843842	SRR9843842 (Source)	Colon	Feces	colon	24	Stool
SRR9843843	SRR9843843 (Source)	Colon	Feces	colon	24	Stool
SRR9843844	SRR9843844 (Source)	Colon	Feces	colon	24	Stool
SRR9843845	SRR9843845 (Source)	Colon	Feces	colon	0	Stool
SRR9843846	SRR9843846 (Source)	Colon	Feces	colon	24	Stool
SRR9843847	SRR9843847 (Source)	Colon	Feces	colon	0	Stool
SRR9843848	SRR9843848 (Source)	Colon	Feces	colon	24	Stool
SRR9843849	SRR9843849 (Source)	Colon	Feces	colon	0	Stool
SRR9843850	SRR9843850 (Source)	Colon	Feces	colon	24	Stool
SRR9843851	SRR9843851 (Source)	Colon	Feces	colon	24	Stool
SRR9843852	SRR9843852 (Source)	Colon	Feces	colon	0	Stool
SRR9843853	SRR9843853 (Source)	Colon	Feces	colon	0	Stool
SRR9843854	SRR9843854 (Source)	Colon	Feces	colon	24	Stool
SRR9843855	SRR9843855 (Source)	Colon	Feces	colon	0	Stool
SRR9843856	SRR9843856 (Source)	Colon	Feces	colon	24	Stool
SRR9843857	SRR9843857 (Source)	Colon	Feces	colon	0	Stool
SRR9843858	SRR9843858 (Source)	Colon	Feces	colon	0	Stool
SRR9843859	SRR9843859 (Source)	Colon	Feces	colon	24	Stool
SRR9843860	SRR9843860 (Source)	Colon	Feces	colon	24	Stool
SRR9843861	SRR9843861 (Source)	Colon	Feces	colon	0	Stool
SRR9843862	SRR9843862 (Source)	Colon	Feces	colon	24	Stool
SRR9843863	SRR9843863 (Source)	Colon	Feces	colon	0	Stool
SRR9843864	SRR9843864 (Source)	Colon	Feces	colon	0	Stool
SRR9843865	SRR9843865 (Source)	Colon	Feces	colon	24	Stool
SRR9843866	SRR9843866 (Source)	Colon	Feces	colon	24	Stool
SRR9843867	SRR9843867 (Source)	Colon	Feces	colon	24	Stool
SRR9843868	SRR9843868 (Source)	Colon	Feces	colon	24	Stool
